datetime,symbol,open,high,low,close,volume
2022-02-19,BITKUB:KUBTHB,300.62,305.0,280.0,291.7,830290.82730806
2022-02-20,BITKUB:KUBTHB,293.0,294.9,261.27,277.99,893547.62577787
2022-02-21,BITKUB:KUBTHB,275.41,315.0,273.57,289.8,1251235.33160297
2022-02-22,BITKUB:KUBTHB,290.0,292.3,270.0,276.0,672631.37785931
2022-02-23,BITKUB:KUBTHB,276.49,289.0,275.0,281.48,523286.23695477
2022-02-24,BITKUB:KUBTHB,281.47,283.49,250.01,259.0,1215381.34602994
2022-02-25,BITKUB:KUBTHB,258.01,294.89,253.0,287.0,1246559.45286949
2022-02-26,BITKUB:KUBTHB,287.0,315.0,278.1,291.33,1484745.37940542
2022-02-27,BITKUB:KUBTHB,294.99,296.0,275.0,285.36,866098.60706865
2022-02-28,BITKUB:KUBTHB,285.9,295.5,278.45,290.02,607777.78885613
2022-03-01,BITKUB:KUBTHB,290.01,308.0,285.11,291.5,1219925.54486081
2022-03-02,BITKUB:KUBTHB,290.24,300.0,288.0,290.22,631501.81390019
2022-03-03,BITKUB:KUBTHB,290.01,293.0,280.0,280.05,480570.29520775
2022-03-04,BITKUB:KUBTHB,280.98,285.9,270.0,272.41,517721.23041732
2022-03-05,BITKUB:KUBTHB,272.4,279.9,266.66,275.05,342027.09488062
2022-03-06,BITKUB:KUBTHB,275.99,279.99,268.2,269.1,251978.77951118
2022-03-07,BITKUB:KUBTHB,269.09,273.0,260.5,266.75,352609.80768362
2022-03-08,BITKUB:KUBTHB,266.72,284.0,262.02,268.84,708200.92458742
2022-03-09,BITKUB:KUBTHB,268.05,280.0,267.33,273.6,541457.6466882
2022-03-10,BITKUB:KUBTHB,273.6,275.0,266.0,267.71,325099.68934445
2022-03-11,BITKUB:KUBTHB,267.64,275.0,265.0,267.49,297572.37244428
2022-03-12,BITKUB:KUBTHB,267.49,269.18,264.99,266.66,204006.4663909
2022-03-13,BITKUB:KUBTHB,266.89,269.58,266.0,266.3,161066.4607686
2022-03-14,BITKUB:KUBTHB,266.26,268.0,263.0,263.08,210958.29617926
2022-03-15,BITKUB:KUBTHB,263.08,269.75,260.23,262.0,262190.55603282
2022-03-16,BITKUB:KUBTHB,262.2,265.0,261.2,262.0,250323.16149305
2022-03-17,BITKUB:KUBTHB,262.0,268.0,261.81,263.6,355227.9860657
2022-03-18,BITKUB:KUBTHB,263.6,269.0,262.11,265.08,364026.54091838
2022-03-19,BITKUB:KUBTHB,265.18,282.81,264.0,273.09,704774.34022509
2022-03-20,BITKUB:KUBTHB,273.1,278.0,266.0,266.84,613417.03773609
2022-03-21,BITKUB:KUBTHB,266.5,271.0,265.0,268.17,274550.66631359
2022-03-22,BITKUB:KUBTHB,268.01,272.05,267.0,270.28,405033.25315063
2022-03-23,BITKUB:KUBTHB,270.29,271.0,260.09,263.49,588977.28145871
2022-03-24,BITKUB:KUBTHB,263.49,266.5,260.5,262.82,532832.47746447
2022-03-25,BITKUB:KUBTHB,262.0,270.0,260.51,262.5,653262.44965844
2022-03-26,BITKUB:KUBTHB,262.5,264.99,262.0,262.62,237081.25355585
2022-03-27,BITKUB:KUBTHB,262.67,267.78,261.05,263.53,599308.41804647
2022-03-28,BITKUB:KUBTHB,263.9,274.5,262.1,270.0,1041391.9628842
2022-03-29,BITKUB:KUBTHB,270.0,326.0,268.0,285.6,4439517.1603268
2022-03-30,BITKUB:KUBTHB,285.6,310.0,282.0,296.5,2133747.56156519
2022-03-31,BITKUB:KUBTHB,296.52,303.0,280.01,280.38,1714082.51596502
2022-04-01,BITKUB:KUBTHB,280.38,290.0,280.0,284.56,805282.88123463
2022-04-02,BITKUB:KUBTHB,284.79,296.0,283.37,287.69,815250.5423629
